system:index,LST,NDBI,NDVI,UHI,.geo
513,41.80966405319674,0.03837478905916214,0.3613208830356598,1.3120791458783874,"{""type"":""MultiPoint"",""coordinates"":[]}"
516,35.822988099916756,0.03343205153942108,0.29159584641456604,0.5105287673509645,"{""type"":""MultiPoint"",""coordinates"":[]}"
519,38.969123921628125,0.09455981850624084,0.204635888338089,0.931761915507212,"{""type"":""MultiPoint"",""coordinates"":[]}"
525,39.06536023984887,0.05765760689973831,0.22864803671836853,0.9446469050907325,"{""type"":""MultiPoint"",""coordinates"":[]}"
526,33.59781463713898,0.007150256074965,0.4499598741531372,0.21260239797707053,"{""type"":""MultiPoint"",""coordinates"":[]}"
530,38.25994164616196,0.053590867668390274,0.22912496328353882,0.8368101717046431,"{""type"":""MultiPoint"",""coordinates"":[]}"
538,40.64500935572909,0.005100808572024107,0.3817276656627655,1.1561446304821639,"{""type"":""MultiPoint"",""coordinates"":[]}"
540,40.7833126558549,0.08707445114850998,0.41892582178115845,1.174661928467317,"{""type"":""MultiPoint"",""coordinates"":[]}"
541,43.487396906584365,0.15359660983085632,0.27249255776405334,1.5367092100735207,"{""type"":""MultiPoint"",""coordinates"":[]}"
549,38.863555267394304,0.002084794221445918,0.3915100395679474,0.9176274282855696,"{""type"":""MultiPoint"",""coordinates"":[]}"
557,39.299074189788996,0.11787912249565125,0.30720168352127075,0.9759386446977526,"{""type"":""MultiPoint"",""coordinates"":[]}"
568,33.88131372875557,0.044979896396398544,0.40557581186294556,0.25055982309425245,"{""type"":""MultiPoint"",""coordinates"":[]}"
585,34.288177315011865,0.030822420492768288,0.4779967665672302,0.30503440366580997,"{""type"":""MultiPoint"",""coordinates"":[]}"
589,36.603637558345724,0.03067460097372532,0.21217980980873108,0.6150491846550181,"{""type"":""MultiPoint"",""coordinates"":[]}"
593,33.8190021600883,9.624341619201005E-4,0.4707237184047699,0.24221698612735057,"{""type"":""MultiPoint"",""coordinates"":[]}"
598,39.83278618619681,0.011790789663791656,0.4220496714115143,1.0473968388749286,"{""type"":""MultiPoint"",""coordinates"":[]}"
600,34.27466211859513,0.05172638222575188,0.4652804434299469,0.3032248668062494,"{""type"":""MultiPoint"",""coordinates"":[]}"
605,34.35183777667157,0.006354127079248428,0.5174335241317749,0.3135578426390874,"{""type"":""MultiPoint"",""coordinates"":[]}"
616,38.01718002131372,0.10864487290382385,0.2804407775402069,0.8043070474654848,"{""type"":""MultiPoint"",""coordinates"":[]}"
617,36.24516648371497,0.02705555036664009,0.4048713743686676,0.5670538316738716,"{""type"":""MultiPoint"",""coordinates"":[]}"
621,38.66482962720903,0.04570760205388069,0.3595374524593353,0.8910202403641424,"{""type"":""MultiPoint"",""coordinates"":[]}"
628,33.8764399909208,0.03935310244560242,0.3833554983139038,0.24990728294730102,"{""type"":""MultiPoint"",""coordinates"":[]}"
631,40.91294190880666,0.004886416252702475,0.3971729874610901,1.1920178664841028,"{""type"":""MultiPoint"",""coordinates"":[]}"
636,36.94600981496666,0.07420624792575836,0.42209532856941223,0.6608890821262423,"{""type"":""MultiPoint"",""coordinates"":[]}"
637,37.16961575170342,0.023721972480416298,0.42222490906715393,0.6908274694101125,"{""type"":""MultiPoint"",""coordinates"":[]}"
649,39.63519925953494,0.033352430909872055,0.45189011096954346,1.020942112229649,"{""type"":""MultiPoint"",""coordinates"":[]}"
653,36.97925723495888,0.011447835713624954,0.4000680148601532,0.6653405477288235,"{""type"":""MultiPoint"",""coordinates"":[]}"
664,42.02689854379781,0.07287681102752686,0.31332528591156006,1.3411644662680942,"{""type"":""MultiPoint"",""coordinates"":[]}"
669,39.07085188758299,0.033576611429452896,0.42764270305633545,0.9453821766094139,"{""type"":""MultiPoint"",""coordinates"":[]}"
686,35.90538483624971,0.05741488188505173,0.4279996454715729,0.521560788411152,"{""type"":""MultiPoint"",""coordinates"":[]}"
699,37.72300807967645,0.0920502096414566,0.18051756918430328,0.7649206445581558,"{""type"":""MultiPoint"",""coordinates"":[]}"
702,35.56985790269425,0.0510486401617527,0.3510998487472534,0.4766374047678176,"{""type"":""MultiPoint"",""coordinates"":[]}"
714,39.666859505013576,0.05053866654634476,0.21117985248565674,1.0251810725384602,"{""type"":""MultiPoint"",""coordinates"":[]}"
715,40.1452991415141,0.04760773479938507,0.3707256615161896,1.0892389027487976,"{""type"":""MultiPoint"",""coordinates"":[]}"
717,38.00931847074173,0.025274906307458878,0.4215472638607025,0.8032544718983478,"{""type"":""MultiPoint"",""coordinates"":[]}"
721,38.35874692789287,0.041719187051057816,0.21293945610523224,0.8500391173816717,"{""type"":""MultiPoint"",""coordinates"":[]}"
722,36.214501492117165,0.053165119141340256,0.3899416923522949,0.5629481249654115,"{""type"":""MultiPoint"",""coordinates"":[]}"
726,42.35146983859454,0.07263121753931046,0.35492098331451416,1.3846210098047316,"{""type"":""MultiPoint"",""coordinates"":[]}"
738,39.434594263922236,0.04903597757220268,0.2829175293445587,0.9940832991883716,"{""type"":""MultiPoint"",""coordinates"":[]}"
740,37.03604335075164,0.05128190666437149,0.2426762580871582,0.672943587038785,"{""type"":""MultiPoint"",""coordinates"":[]}"
749,37.87038308766029,0.023361163213849068,0.2924211919307709,0.7846525449243695,"{""type"":""MultiPoint"",""coordinates"":[]}"
750,40.174680319582365,0.054905615746974945,0.29982107877731323,1.0931727208785889,"{""type"":""MultiPoint"",""coordinates"":[]}"
753,41.72909348786976,0.09065907448530197,0.20735466480255127,1.301291629126186,"{""type"":""MultiPoint"",""coordinates"":[]}"
764,27.724937421540403,0.09126713126897812,0.6370811462402344,-0.5737115752435811,"{""type"":""MultiPoint"",""coordinates"":[]}"
765,37.22166108886188,0.05528774857521057,0.37993475794792175,0.6977957703546618,"{""type"":""MultiPoint"",""coordinates"":[]}"
766,38.54245327656122,0.034451745450496674,0.4092247784137726,0.8746353865738155,"{""type"":""MultiPoint"",""coordinates"":[]}"
769,32.71977617977376,0.001430012285709381,0.38602253794670105,0.0950426597592147,"{""type"":""MultiPoint"",""coordinates"":[]}"
771,41.0966776687622,0.049258965998888016,0.26534879207611084,1.2166180735256578,"{""type"":""MultiPoint"",""coordinates"":[]}"
772,36.731042331958406,7.138288347050548E-4,0.29384300112724304,0.6321072892379955,"{""type"":""MultiPoint"",""coordinates"":[]}"
786,36.98652006650076,0.06382380425930023,0.2895134687423706,0.6663129613715536,"{""type"":""MultiPoint"",""coordinates"":[]}"
796,35.66763425995504,0.05420905351638794,0.3748078942298889,0.4897285887211557,"{""type"":""MultiPoint"",""coordinates"":[]}"
809,37.3804814351318,0.046209391206502914,0.24088694155216217,0.7190600762339142,"{""type"":""MultiPoint"",""coordinates"":[]}"
811,38.26307739411658,0.0029303585179150105,0.4117911756038666,0.8372300140311034,"{""type"":""MultiPoint"",""coordinates"":[]}"
819,39.59142567847374,0.02733319252729416,0.27232465147972107,1.0150813088818604,"{""type"":""MultiPoint"",""coordinates"":[]}"
824,40.60109528644199,0.049062952399253845,0.3341713845729828,1.1502650172987465,"{""type"":""MultiPoint"",""coordinates"":[]}"
839,36.896018535900794,0.05354711040854454,0.41597306728363037,0.6541957970760702,"{""type"":""MultiPoint"",""coordinates"":[]}"
855,38.31605665083197,0.007134099490940571,0.40654948353767395,0.8443233565814139,"{""type"":""MultiPoint"",""coordinates"":[]}"
856,39.188440147909546,0.021476028487086296,0.41260024905204773,0.9611259575173304,"{""type"":""MultiPoint"",""coordinates"":[]}"
